代码,地名
WXHQBP480HE1,宽城
WX7WX3NGVYE8,围场
WXK3HXU4K3VY,平泉
WWG1FS318M6P,沧州
WWG1GNZ4XV45,新华
WWG1FQN3QJUR,运河
WWG1GKQ1SMKP,沧县
WWG56R38Z332,青县
WWDZ7XYDCZCC,东光
WWG8CM6767JJ,海兴
WWG27QUCRFP5,盐山
WWF6EGBYFX5Z,肃宁
WWFBRE4KG1FF,南皮
WWDY02926S39,吴桥
WWF94QKN85GE,献县
WWG28DMTGF2E,孟村
WWFBSD7TVF7G,泊头
WWFS3BV2Q54S,任丘
WWG6Q359MNQJ,黄骅
WWFD97YYUP1R,河间
WX4BZD6KEJFY,廊坊
WX4BXR409T9P,安次
WX4BZDTY2B9D,广阳
WX48Q6P06KTR,固安
WWFZEJBXWG20,永清
WX54NRUV1974,香河
WWFUJVP7GFZH,大城
WWFV4K4F5TNT,文安
WX54VGYJZDF4,大厂
WWFY2TZYH86C,霸州
WX55RYPU2SNV,三河
WWDQ8KE95MGB,衡水
WWDQ8J7UXJP4,桃城
WWDJTZ7T05TG,冀州
WWDM3Q29Z6YJ,枣强
WWDRHUVJRWYX,武邑
WWF2R5NHCCU4,武强
WWF33X81BKW8,饶阳
WWF1KXX1GHE0,安平
WWDKQZQG8BES,故城
WWDWMZ14RM7E,景县
WWDX7N1BEPTM,阜城
WWF0M3KFW1SY,深州
WW8P3NH2TPDT,太原
WW8N9SDCPJGB,小店区
WW8P3K9XEM94,迎泽
WW8P96QC7QG2,杏花岭
WQXZZ8CQMBQZ,尖草坪区
WW8P25YZ9Y3R,万柏林
WQXYX3ENTGXR,晋源
WQXVUSFGBSPB,清徐
WWB0EF7VC635,阳曲
WQZ2XD7TYF35,娄烦
WQXZ8RPSN2Q4,古交
WX0S40QDCME0,大同
WX0MN2HGDW9C,新荣
WX0ECZRGWVHT,平城
WX07WD7XW8FZ,云冈
WX0G9P0ZXUG7,云州
WX0VSMNHR17W,阳高
WX1JGYNX8DJ7,天镇
WX160XBJJ124,广灵
WX10R658RUTR,灵丘
WX0CFG5JRBRU,浑源
WX05S9C8UK6Y,左云
WW8Z267HHZ3U,阳泉
WW8Z27W1UTPU,矿区
WW8ZBG80FZ2F,郊区
WW8Z13R8CYSX,平定
WWB8SKR25D88,盂县
WW2MYN52R11E,长治
WW2MYN8DKWC5,潞州
WW2MH7KCBNT6,上党
WW2Q8EUEQDSX,屯留
WW2W8MSM94YG,潞城
WW2RUD06XVT9,襄垣
WW2TVNJ0Q947,平顺
WW2XSH8GCMPS,黎城
WW2MRZMWR0JB,壶关
WW2M2RMQM85B,长子
WW81XBWY79DG,武乡
WW81HD1SK2DC,沁县
WQRZSHS5YTNU,沁源
WW23BS9T8PB1,晋城
WQRFBXQGP6ND,沁水
WQRCY4VTZZ7E,阳城
WW2E9989W73T,陵川
WW21ZW863X9U,泽州
WW279T1Y4EWW,高平
WQZZWRV1BGKH,朔州
WQZZWM9DTY1H,朔城
WRP8ZK5QCQ57,平鲁
WX00Z63H8TCQ,山阴
WX02ZRZ5MNKG,应县
WRPGRQ4HKUNM,右玉
WX06T4Y6DFPK,怀仁
WW8NMEQJCMJE,晋中
WW8NMWF7B000,榆次
WW86FSQHRUC7,榆社
WW8DGU3S2KZ5,左权
WW8U27EPHB3G,和顺
WW8Y529B6H2C,昔阳
WW8RRRZ4VPUC,寿阳
WW8HCHH7M1DD,太谷
WQXUKPK5W8WU,祁县
WQXG82RTNQQ4,平遥
WQX3XKK6VCBS,灵石
WQXDDV1EMH2D,介休
WQNZJRJNM3JV,运城
WQNZMBKZZMSR,盐湖
WQNZBWU784FT,临猗
WQQC9BPBQNTD,万荣
WQR14G7BTVDG,闻喜
WQQFT0VCH2VR,稷山
WQR4DU7VTC6B,新绛
WQR3FFFVCRME,绛县
WQR2V45T7SGN,垣曲
WQPPFYGGTFFV,夏县
WQPN4UEGMYDF,平陆
WQNTQSFWNUVD,芮城
WQNW2TTQSRR8,永济
WQQDX0C30BYX,河津
WWB4T4PKXRH7,忻州
WWB4MRNMS0C8,忻府
WWB6FJPDJZBM,定襄
WWBS34D4S729,五台县
WWBQ60RXJZBK,代县
WWBWCHD0H32E,繁峙
WQZVG7WR7WVJ,宁武
WQZD710CQN3J,静乐
WQZY34M992PB,神池
WQZT31W8VVSF,五寨
WQZK4V4GC6VS,岢岚
WRP00BFMHSJF,河曲
WQYBPZT229EC,保德
WRP234PB6K9Z,偏关
WWBHKD9DS76C,原平
WQRM38NMHR7P,临汾
WQRM4ZVRFJJK,尧都
WQR68W1ZZ32K,曲沃
WQR7Q22N2DVB,翼城
WQRHPEUB5HY0,襄汾
WQRQJP5EE9G0,洪洞
WQRW6FC8J409,古县
WQRVDKCVN86M,安泽
WQRS8U0H7VGZ,浮山
WQQTQEF9WZV8,吉县
WQQU9UPUQJVX,乡宁
WQQZ2PJTNHC2,大宁
WQWBU30BBRG5,隰县
WQW9JMY2CBFC,永和
WQQZPWJCZS56,蒲县
WQX26ZFV9RJT,汾西
WQR4TU6TE13B,侯马
WQX2N3258WJG,霍州
WQXJ2UGJEGPU,吕梁
WQXJ2Y63UDVV,离石
WQXSVJFMX1WP,文水
WQXV85C0S7M4,交城
WQZ4BE5PGXV2,兴县
WQWZVKT4V2TZ,临县
WQWUGTFVT39X,柳林
WQWF3ZXUW5VT,石楼
WQZ3V0ET5T5N,岚县
WQXP7PG4YZG3,方山
WQXH3GWZ1B2E,中阳
WQX466JMGG98,交口
WQX7R6UQMVBW,孝义
WQXKP8G9QZ91,汾阳
WRR2Q2Z7CXWM,呼和浩特
WRR2KVG2VVPD,新城
WRR25UV015EU,回民
WRPRV49XB01Z,玉泉
WRR2J9TZ4PWB,赛罕
WRPP8UF7HWJV,土左旗
WRPJ1FYVCB0D,托县
WRPT8WBYDCE4,和林
WRP7J74YUE7E,清水河
WRR38N7KM5P3,武川
WRNP70PG2MPX,包头
WRNNZFRK4QU1,东河
WRNP5Q3XD0CZ,昆都仑
WRNPHWXVC6JX,青山
WRNRM5VSXDT8,石拐
WRQJVB46BMM3,白云鄂博
WRNNYQBHVKJV,九原
WRNWFCW1QSHU,土右旗
WRQ32JRCNF7E,固阳
WRQQZ7FJ2MU1,达茂旗
WR5CWTXYQRVP,乌海
WR5CY9QS9051,海勃湾
WRH027BW6C3P,海南
WR5BSX8JK31B,乌达
WXS86P4BSG4G,赤峰
WXS8DG25QSRP,红山
WXKZ4KD9EVGY,元宝山
WXS8D1XPE0CR,松山
WXV3SKPEDBCE,阿鲁旗
WXUFHW3F5D5Y,巴林左旗
WXSRS6SF7KJ2,巴林右旗
WXGBN31KKM5F,林西
WXEW1QFK62V0,克什克腾
WXSU6GNH7E1G,翁牛特
WXKQMGUUKTYV,喀喇沁
WXKUEMJ3WD11,宁城
WXT0XSQXM7W2,敖汉
WXYBNKF2CT25,通辽
Y8N2K43REK6R,科尔沁
WXZEN1WGUK0Z,科左中旗
WXXH24U9CSK3,科左后旗
WXY201PUQV5D,开鲁
WXWE4FY0Q9KF,库伦
WXTGC2WEKFBQ,奈曼
WXVVQQNFE1UM,扎鲁特
Y8J548QRRP4M,霍林郭勒
WRN16S9GJRQ1,鄂尔多斯
WRN4X1583F0B,东胜
WRN17F23YKG3,康巴什
WRNJZW4PEF1G,达拉特
WRP18ZD2U8JG,准格尔
WQU3QRRWBSHK,鄂前旗
WQUY8CT6E2E1,鄂托克
WRJ69FZ6XD5S,杭锦旗
WQV7SFYJKCD8,乌审旗
WQYP3CHPF6K3,伊金霍洛
Y8TPTQNF5V3X,呼伦贝尔
Y8V0J2JZ730B,海拉尔
Y8G9TKZ0EY3K,扎赉诺尔
Y8XCC9U1ED2C,阿荣旗
YB8E9PDNHQBS,莫力达瓦
YBBJGD9F14VV,鄂伦春旗
Y8T76RN47M5Q,鄂温克旗
Y8V1S4ZDQ3WD,陈旗
Y8SS1PUGYH77,新左旗
Y8DVQFRGVYH1,新右旗
Y8GD09U2RMGS,满洲里
Y8VB770UUCUF,牙克石
Y8X2CNRZF23B,扎兰屯
Y8VMYB06UYXJ,额尔古纳
Y9N2VK0NVNP7,根河
WRHRG8C39PEC,巴彦淖尔
WRHRGFQ3CQS6,临河
WRKCZDPBCG73,五原
WRHJ7MCE68ZU,磴口
WRJR8KUE0QPV,乌前旗
WRMHMRTFG38V,乌中旗
WRK1U6JBZG69,乌后旗
WRK0W3BPRBQF,杭锦后旗
WX23NNWFJD1D,乌兰察布
WX23MTKCJ427,集宁
WX209TDGZ0EG,卓资
WX3N65SM0W15,化德
WX2SR7YN29RS,商都
WX2BX3UZK26D,兴和
WRPYXD32MGWG,凉城
WX0XBRU29NYZ,察右前旗
WX24FBYXJJX5,察右中旗
WX27Z3XPV0HC,察右后旗
WRRKJY3RW8UZ,四子王旗
WX0QNB13F470,丰镇
Y8NY1ECCRVK4,兴安
Y8NY1KD57NS4,乌兰浩特
Y8MK3HF77T3W,阿尔山
Y8NWN6G3JYMN,科右前旗
Y8N2K15G20SV,科右中旗
Y8R3UDVJCX65,扎赉特
Y8N6NMHTDM4H,突泉
WXF9BT6Y0JY4,锡林郭勒
WRZ8K4JREJGB,二连浩特
WXF9CJPWG18C,锡林浩特
WXCF2PQT74VK,阿巴嘎
WXBC3WWUFBMN,苏左旗
WX855QMHZ385,苏右旗
Y854VWWVNX18,东乌旗
WXGTS599QD7D,西乌旗
WX3YREWVHWP7,太仆寺
WX8BNR8RX4XF,镶黄旗
WX9B8UKRQ5X0,正镶白旗
WXD2REKS5FV5,正蓝旗
WX6ZFQDU79YS,多伦
WQGJJBDMKH1Z,阿拉善
WQGHUSF91KWU,阿左旗
WQBR1B1HE9XH,阿右旗
WPRWREDT4QH5,额济纳
WXRVB9QYXKY8,沈阳
WXRV8R5T04M6,和平
WXRVC0PX7PW6,沈河
WXRVC3ZWVKNY,大东
WXRVBVE1P9RF,皇姑
WXRTZ3E3MWSD,铁西
WXRTN8KHBPBG,苏家屯
WXRV318CHCYF,浑南
WXRZ4WVR9X2Z,沈北新区
WXRTTZCUTWXC,于洪
WXRK0W3ZX2BR,辽中
WXXENYKSZ3D7,康平
WXXCB0CHKQJP,法库
WXRQFVFG9RMW,新民
WWYMRT0VRMUG,大连
WWYMRUZ825SR,中山
WWYMRHPCCQV0,西岗
WWYMQF687P5G,沙河口
WWYMT706MWWC,甘井子
WWYHZDFNGU9B,旅顺
WWYW3MGNP831,金州
WXN8PH938UQD,普兰店
WWZPMKUH348F,长海
WXNC2HTENP33,瓦房店
WXP3Y7PM38QK,庄河
WXR3Y6P2CEQ3,鞍山
WXR3WXG75MXF,铁东
WXR3YJ7CFEBU,铁西
WXR6P6YFMX3P,立山
WXR3TSJ16Y0M,千山
WXR53SZXBZ04,台安
WXPTJKCB00NX,岫岩
WXR281GRM0R6,海城
WZ2N5S6KN57F,新抚
WZ2NN6TY9GD5,东洲
WZ2N0DUD49TM,望花
WZ2NK21ZFVU4,顺城
WZ2NM0P2XMU7,抚顺
WZ2VMHSNF5V4,新宾
WZ2ZD85FQBZ4,清原
WZ24BQQTFN10,本溪
WZ24BQ12PBKE,平山
WZ25072ECFZP,溪湖
WZ24CRSSZ4XW,明山
WXRCZ9ZBN5KC,南芬
WZ263DV24Y4T,本溪县
WZ34U2VP4TW7,桓仁
WZ0KQ36Y0N4N,丹东
WZ0KQD3FZ5SH,元宝
WZ0KJU8HT4GY,振兴
WZ0KRQ39DEES,振安
WZ0XXQWJ2WR9,宽甸
WZ06C4578DTW,东港
WZ0NP79N2D92,凤城
WXQ1U6H0VE63,锦州
WXQ1UHYC3BYW,古塔
WXQ1USRK37ND,凌河
WXQ1GEM4133K,太和
WXQV4ZM045RV,黑山
WXQHQ8KCZ9PG,义县
WXQ61QU2EUQ2,凌海
WXQSETH19DN9,北镇
WXNZM7TPVMMZ,营口
WXNZMGYQRGJ3,站前
WXNZKFB1WQ8W,西市
WXNUFE2R2G8Q,鲅鱼圈
WXPP2TQ3Y2NH,老边
WXPJB4SE19U7,盖州
WXPP781G2VHR,大石桥
WXQWBPZKWZJP,海州
WXQX7M6TS6QZ,新邱
WXQWBXRTH6U9,太平
WXQMDVBQ32Q8,清河门
WXQX0F15G7PB,细河
WXQX09T2HRXX,阜新
WXX1H5P97UW5,彰武
WXRDFBCXJJ8E,辽阳
WXRDFB8SDS8U,白塔
WXRDEP0XSWZ9,文圣
WXRD7R0FH78C,宏伟
WXRCCPMX97XY,弓长岭
WXRDDVW12EKS,太子河
WXRD2XBGFUGJ,辽阳县
WXREWKQ0VR9K,灯塔
WXQCCV8TM5T4,盘锦
WXQF36JKNZY5,双台子
WXQF1SKD6DJB,兴隆台
WXQC1U0TV1TJ,大洼
WXQF8TK68J6D,盘山
WZ809CWFNRS9,银州
WZ860BQ0C5BJ,清河
WZ809BF6B5HR,铁岭
WZ8EN4F269K6,西丰
WZ85RGYGED4B,昌图
WXXCE7QMETV4,调兵山
WZ84N3GZSQZH,开原
WXMSKY7S59FX,双塔
WXMSEBQHS8M0,龙城
WXMSKZT4B3TT,朝阳
WXM5D0XUMP37,建平县
WXM4JQFC0DDQ,喀左
WXMVU1QN8UYB,北票
WXKFTJ26TTKF,凌源
WXJZTSCEPN4J,葫芦岛
WXJZYQD81CPK,连山
WXJZWZKMQZ1B,龙港
WXMCGDGR793Z,南票
WXJT6HJ9H0Z0,绥中
WXM0NP59WRD8,建昌
WXJZ549SEUU4,兴城
WZC1EXZ0P9HU,长春
WZC1S28RV6C8,南关
WZC1GXR20WUC,宽城
WZC16G5QZFCH,朝阳
WZC1SC1BURVN,二道
WZC1D5U5DSMG,绿园
WZ9REDW47HPB,双阳
WZC7PM687S82,九台
WZCHB81R92M3,农安
WZCYZXNZKTX6,榆树
WZCMK67YN39K,德惠
WZCCRENBK8PQ,吉林
WZF18HHC353Z,昌邑
WZCCZC7DHYG6,龙潭
WZCCR7HPJ434,船营
WZCCRC5DQCN8,丰满
WZCBQTFKPWH8,永吉
WZF89QYZKN9Q,蛟河
WZDH7Y3YRH94,桦甸
WZFK8Y6JM2HV,舒兰
WZ9SK6FCCUK3,磐石
WZ8MTDUGMP22,四平
WZ8MMQJ39H3U,铁西
WZ8MWBGVB73M,铁东
WZ8QMNNM6CR3,梨树
WZ9NE78SJ9EY,伊通
WZ8Z2QGJUG9Z,公主岭
WXXZD69FQS42,双辽
WZ8GZQHFH76E,辽源
WZ8UP3SBV311,龙山
WZ8UPWNQ8XWM,西安
WZ96B98JJ08H,东丰
WZ8UHMQ5P5GS,东辽
WZ3T3SEQVEVF,通化
WZ3T6H1964E1,东昌
WZ3TSH3130W1,二道江
WZ3MJE87E7HH,通化县
WZ9DGCSJPBEH,辉南
WZ92T0CFC75P,柳河
WZ93GYM7HQ8K,梅河口
WZ39ZM9MR5E6,集安
WZ3YSC05ZW82,白山
WZ3YSE3P5FF2,浑江
WZ6PJDT5559T,江源
WZD8B3FQNGYV,抚松
WZD1JQSVYHUG,靖宇
WZ75TK22UX8K,长白
WZ6JZ9MY8KF0,临江
YB0B8REJKCCB,松原
YB0BBNUMJJ5Z,宁江
WZBX23CR6X91,前郭
WZB5VHZMXQK2,长岭
YB00N5SSE2Q8,乾安
WZCXGSKGQZDX,扶余
Y8P7E0F5F2QK,白城
Y8P7E2V4U0EB,洮北
Y8PSG6XX856R,镇赉
WXZWBZ0P7VEF,通榆
Y8P3CUJDMK7W,洮南
YB06U51BTYU8,大安
WZS5FZSMRDT6,延边
WZS5FY540EQG,延吉
WZSK6Q7Q6K8D,图们
WZENTZQ0X9FP,敦化
WZSEYSHXC5JZ,珲春
WZS5340C29F7,龙井
WZE9ZQQGJYES,和龙
WZSQ2W1J61K3,汪清
WZETM1Y05WW7,安图
YB1UX38K6DY1,哈尔滨
YB4H315RDCJ7,道里
YB4H63BZXBM3,南岗
YB4H3ZFGN2W9,道外
YB453MUK1XKZ,平房
YB1UW9V2RYRM,松北
YB4H40KX05JS,香坊
YB4J07UDZU0V,呼兰
YB46BYDJJRHB,阿城
YB1F47R7MKFZ,双城
YBHPEBR3TCC6,依兰
YB5SEX55HE4W,方正
YB4SKBS1561S,宾县
YB4W5H9G7NT6,巴彦
YB5J3KUW5HZ6,木兰
YB5T9B8FSMN5,通河
YB5681ZJ3WPD,延寿
YB4CR843E4FZ,尚志
WZFRT37VCWZV,五常
YB2JK81THR6Z,齐齐哈尔
YB2JHT6R1S07,龙沙
YB2JKS0YCQ6G,建华
YB2JM19MGX06,铁锋
YB2H1RZYG2NG,昂昂溪
Y8RUT1EPZEJ9,富拉尔基
Y8RQK1Z9YNGK,碾子山
Y8RVPUJ1HQZZ,梅里斯
Y8RT700VNP3P,龙江
YB907K29JWGV,依安
Y8PZBQZEW6YJ,泰来
WQ1PJ9PBXYZY,甘南
YB8803K79NNG,富裕
YB990PXEP8FW,克山
YB9C0ZS7N0ZN,克东
YB3WV12DHGJU,拜泉
YB8GC3X83ZH8,讷河
YBJ1SQ97WHN1,鸡西
YBJ1SQGYT1DK,鸡冠
YBJ14TUZ328F,恒山
YBJ1CR053BCD,滴道
YBHBTBM79KJ9,梨树
YBJ1VHCVWHQH,城子河
YBHC0YJYHJ40,麻山
YBJ1RVTBQ7QU,鸡东
YBNS6H1JDD6U,虎林
YBJG0U0GCXQV,密山
YBKTK25TPP2R,鹤岗
YBKTK9ZXWXMJ,向阳
YBKTHM9MY5ZV,工农
YBKTHT42W0KK,南山
YBKSG3XTUZZY,兴安
YBKTM320X96D,东山
YBKTKUY2JGPC,兴山
YBMN9JEMXFYE,萝北
YBMUBR41ZWVC,绥滨
YBM322SX2QPB,双鸭山
YBM327K9XWEB,尖山
YBM309937NQC,岭东
YBM3H3UFWQUM,四方台
YBM2VYTWQGYK,宝山
YBM1ZCJGWRNZ,集贤
YBMDPHJC6851,友谊
YBNP8231E3BD,宝清
YBR61XWMU274,饶河
YB2BVPSH4JM5,大庆
YB2CNFHX4NTR,萨尔图
YB2BZK58SVC8,龙凤
YB2C3K7R3S8U,让胡路
YB0ZCY60RJRM,红岗
YB0VBHBYKM2C,大同
YB15FX6VF96N,肇州
YB0FYQ8MPPPB,肇源
YB2U3KZE3VKW,林甸
YB26XUMTX1MB,杜尔伯特
YB7XT0YP7SYK,伊春
YB7UJSZC9867,南岔
YBE85XJG6JSD,友好
YB7YN7JHFQPS,西林
YB7RRZCRPCKP,翠峦
YBS4EQTGB7WF,新青
YB7YFPPRTC7W,美溪
YBKJ9NCD4RU8,金山屯
YBECTPUZR61H,五营
YB7XD8PSR3Q1,乌马河
YBS5SK90GZCD,汤旺河
YB7EXBBDYQEK,带岭
YBSH3P2G88DK,乌伊岭
YBS42JM8VY66,红星
YBE8ZV54FR97,上甘岭
YBSWNF7FDHQM,嘉荫
YB7530MQ64YB,铁力
YBKDQEKD30TF,佳木斯
YBKDQ2EMSQK6,向阳
YBKDQ9F6QKK4,前进
YBKDR5R7872K,东风
YBKDM3PEMWE3,郊区
YBHYGPYJM88E,桦南
YBKGQXERKG29,桦川
YBK3GFYMCRK7,汤原
YBQPPD6J7GCC,同江
YBMUU3T71YRK,富锦
YBX7PT7XWV91,抚远
YBJH7VFZU4T1,七台河
YBJHEK0MQBYU,新兴
YBJHM6BQSK9F,桃山
YBJHQQE0652T,茄子河
YBHU70W1JD0S,勃利
WZUJT5EC6FK4,牡丹江
WZUJTE6JFGW6,东安
WZUJTY0EEW1Y,阳明
WZUJSY0ES6N0,爱民
WZUJT6F2NJN7,西安
YBH9SQEEXH03,林口
WZVK8QKT22PV,绥芬河
WZUJ81EXHD0Q,海林
WZUH61TJMXJN,宁安
WZUZD13VBQVV,穆棱
WZV4XWWWM7QM,东宁
YBFTUGSP7QCT,黑河
YBFTV5V9G6CF,爱辉
YB9P8ZPU52Q6,嫩江
YBG653UBRVZH,逊克
YBF91HXS758Z,孙吴
YB9FRH101ETS,北安
YB9SPBB13PS3,五大连池
YB63388P2QN8,绥化
YB6333XQVSWR,北林
YB3FQJ5UT8EX,望奎
YB1Z1X4Q330T,兰西
YB39T3Z4WYXN,青冈
YB6DTY1PZ37S,庆安
YB3S2UVE6TKN,明水
YB6KU1X7HWMH,绥棱
YB1PGYYE8DVM,安达
YB1W4DZC4Y2W,肇东
YB6Q138SZ3Q5,海伦
YBBQB6TMV95Z,大兴安岭
Y9RJK4ZSEGWJ,漠河
YBBNZ69JB91R,加格达奇
YC4N3CPTNFUT,呼玛
YC29TSEF0DGK,塔河
WTW3SJ5ZBJUY,上海
WTW3SMGJ8NHW,黄浦
WTW37HNSSJ68,徐汇区
WTW3DGZ6DG22,长宁
WTW3GB8WWK6S,静安
WTW3F34NJJ19,普陀
WTW3UGFJ7BJR,虹口
WTW3V712JSV7,杨浦
WTW3414PNURY,闵行
WTW6SK5N30JR,宝山
WTW4X8D1EZCZ,嘉定
WTW3T7RMWMB4,浦东新区
WTQQBVVG9ZMN,金山
WTW0W2VDYEPR,松江
WTW1HNSVUSCG,青浦
WTQRUHGF01UB,奉贤
WTW7FS0ZC50Z,崇明
WTSQQYHVQ973,南京
WTSQR4WJNP42,玄武
WTSQR0GVT2DZ,秦淮
WTSQJDMYP91J,建邺
WTSQQTCEZ5DT,鼓楼
WTSQ7682Y34B,浦口
WTSQXKQHG41K,栖霞
WTSQNB0QZZ03,雨花台
WTSTB2RFJXXJ,江宁
WTU8011K7TN4,六合
WTSSH3EWX58K,溧水
WTSD1PMY2Z2C,高淳
WTTE97PU94T9,无锡
WTTEF8S5Q6BN,锡山
WTTS1REQ6G7M,惠山
WTTE2GZFGHHT,滨湖
WTTE96Y2VC2D,梁溪
WTTE4V50PN9N,新吴
WTTT2Z1YYP5B,江阴
WTT4QE46BRED,宜兴
WW56FQXV5ZHB,徐州
WW5746R8PEEU,鼓楼
WW56GGZFDN77,云龙
WW5EBUURF35H,贾汪
WW56FDJWX2QH,泉山
WW566Q28FVU3,铜山
WW4VMKCW0UVD,丰县
WW5JSF3UFMPR,沛县
WW5BU529F4N8,睢宁
WWH5T4EY4BS0,新沂
WW5GHPB86PWW,邳州
WTTKC92GVT6S,常州
WTTKCCXTT1RS,天宁
WTTKBMF9SWCP,钟楼
WTTM1FVWGGDE,新北
WTTK3N6Q7S9D,武进
WTTH8GUJNUYP,金坛
